Categoria,Rama,Anio,Demanda,Precio_gas_natural,Precio_combustoleo,PIB,Factores_eficiencia,Estudio
Productos de minerales no metálicos,Productos de minerales no metálicos,2012,82.6,3.2,18.3,114,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2013,83.1,4.5,16.9,111,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2014,80.1,5.3,16.9,114,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2015,86.6,5,17.4,120,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2016,92.2,5.3,17.2,123,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2017,100.2,5.8,17.1,126,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2018,106.1,6.4,16.8,131,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2019,110,6.6,16.6,135,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2020,114,6.7,16.4,139,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2021,118,6.7,16.6,143,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2022,121.8,6.7,17,148,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2023,124.8,6.8,17.3,152,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2024,127.8,7,17.6,156,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2025,131.3,7.2,17.8,161,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2026,134.9,7.3,18,165,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2027,138.1,7.4,17.9,170,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2028,141.2,7.6,17.9,175,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2029,144.1,7.7,17.9,180,,Gas natural 1.0
Productos de minerales no metálicos,Productos de minerales no metálicos,2030,146.4,7.7,17.9,184,,Gas natural 1.0
Química,Química,2005,115.9,7.1,6.8,261,9.54,Gas natural 1.0
Química,Química,2006,127.1,6.5,8.7,272,8.27,Gas natural 1.0
Química,Química,2007,131.7,6.4,9.7,275,8.87,Gas natural 1.0
Química,Química,2008,132.3,8.5,13,269,9.06,Gas natural 1.0
Química,Química,2009,135.2,3.8,10.4,260,7.98,Gas natural 1.0
Química,Química,2010,155.8,4.5,13.4,259,,Gas natural 1.0
Química,Química,2011,165.6,4.3,17.9,262,,Gas natural 1.0
Química,Química,2012,167.3,3.2,18.3,258,,Gas natural 1.0
Química,Química,2013,170,4.5,16.9,260,,Gas natural 1.0
Química,Química,2014,204.4,5.3,16.9,257,,Gas natural 1.0
Química,Química,2015,200.4,5,17.4,254,,Gas natural 1.0
Química,Química,2016,210.1,5.3,17.2,253,,Gas natural 1.0
Química,Química,2017,349.9,5.8,17.1,258,,Gas natural 1.0
Química,Química,2018,372.3,6.4,16.8,264,,Gas natural 1.0
Química,Química,2019,376.2,6.6,16.6,272,,Gas natural 1.0
Química,Química,2020,381.6,6.7,16.4,279,,Gas natural 1.0
Química,Química,2021,385.3,6.7,16.6,286,,Gas natural 1.0
Química,Química,2022,390.1,6.7,17,294,,Gas natural 1.0
Química,Química,2023,392.8,6.8,17.3,301,,Gas natural 1.0
Química,Química,2024,394.8,7,17.6,308,,Gas natural 1.0
Química,Química,2025,396.4,7.2,17.8,315,,Gas natural 1.0
Química,Química,2026,397.8,7.3,18,323,,Gas natural 1.0
Química,Química,2027,399.2,7.4,17.9,331,,Gas natural 1.0
Química,Química,2028,400,7.6,17.9,339,,Gas natural 1.0
Química,Química,2029,400,7.7,17.9,348,,Gas natural 1.0
Química,Química,2030,398.6,7.7,17.9,355,,Gas natural 1.0
Resto,Resto,2005,53.6,7.1,6.8,1153,,Gas natural 1.0
Resto,Resto,2006,61.6,6.5,8.7,1257,,Gas natural 1.0
Resto,Resto,2007,65.3,6.4,9.7,1316,,Gas natural 1.0
Resto,Resto,2008,59,8.5,13,1357,,Gas natural 1.0
Resto,Resto,2009,51.9,3.8,10.4,1293,,Gas natural 1.0
Resto,Resto,2010,63.4,4.5,13.4,1315,,Gas natural 1.0
Resto,Resto,2011,71.3,4.3,17.9,1373,,Gas natural 1.0
Resto,Resto,2012,72,3.2,18.3,1408,,Gas natural 1.0
Resto,Resto,2013,91.1,4.5,16.9,1358,,Gas natural 1.0
Resto,Resto,2014,99.4,5.3,16.9,1404,,Gas natural 1.0
Resto,Resto,2015,143.6,5,17.4,1447,,Gas natural 1.0
Resto,Resto,2016,180,5.3,17.2,1482,,Gas natural 1.0
Resto,Resto,2017,298,5.8,17.1,1521,,Gas natural 1.0
Resto,Resto,2018,406.6,6.4,16.8,1567,,Gas natural 1.0
Resto,Resto,2019,416.2,6.6,16.6,1621,,Gas natural 1.0
Resto,Resto,2020,426.1,6.7,16.4,1676,,Gas natural 1.0
Resto,Resto,2021,435.8,6.7,16.6,1728,,Gas natural 1.0
Resto,Resto,2022,445.8,6.7,17,1781,,Gas natural 1.0
Resto,Resto,2023,455,6.8,17.3,1839,,Gas natural 1.0
Resto,Resto,2024,463.9,7,17.6,1900,,Gas natural 1.0
Resto,Resto,2025,472.7,7.2,17.8,1963,,Gas natural 1.0
Resto,Resto,2026,480.7,7.3,18,2021,,Gas natural 1.0
Resto,Resto,2027,488.1,7.4,17.9,2075,,Gas natural 1.0
Resto,Resto,2028,495.4,7.6,17.9,2131,,Gas natural 1.0
Resto,Resto,2029,502,7.7,17.9,2187,,Gas natural 1.0
Resto,Resto,2030,507.8,7.7,17.9,2244,,Gas natural 1.0
Textil,Textil,2005,30.4,7.1,6.8,13,,Gas natural 1.0
Textil,Textil,2006,33.9,6.5,8.7,14,,Gas natural 1.0
Textil,Textil,2007,35,6.4,9.7,14,,Gas natural 1.0
Textil,Textil,2008,34.4,8.5,13,13,,Gas natural 1.0
Textil,Textil,2009,34.4,3.8,10.4,12,,Gas natural 1.0
Textil,Textil,2010,35.3,4.5,13.4,12,,Gas natural 1.0
Textil,Textil,2011,37.8,4.3,17.9,12,,Gas natural 1.0
Textil,Textil,2012,37.6,3.2,18.3,12,,Gas natural 1.0
Textil,Textil,2013,38,4.5,16.9,12,,Gas natural 1.0
